,type,country,activity,age,species_,mes,fatal,sex,especie_tiburon,year,age_ok
919,Unprovoked,usa,Riding floatation device,19,Bull shark,Aug,N,F,Bull shark,1993,19.0
920,Unprovoked,usa,Free diving for abalone (ascending),39,5.5 m to 6 m [18' to 20']  white shark,Aug,N,M,Unspecified,1993,39.0
921,Unprovoked,south africa,Surfing,28,4 m [13'] white shark,Jul,N,M,Unspecified,1993,28.0
922,Unprovoked,usa,Playing,12,"1.8 m to 2.4 m [6' to 8'] shark, tooth fragments recovered ",Jul,N,F,Unspecified,1993,12.0
923,Unprovoked,usa,Paddling on surfboard or body board,22,Thought to involve a tiger shark,Jun,N,M,Unspecified,1993,22.0
924,Unprovoked,australia,Scuba diving,31,Remains recovered from 5.5 m [18'] white shark,Jun,Y,M,Unspecified,1993,31.0
925,Unprovoked,australia,Scuba diving at seal colony,34,5 m [16.5'] white shark,Jun,Y,F,Unspecified,1993,34.0
927,Unprovoked,usa,Paddling on surfboard,35,"Tiger shark, 3.7 m [12'], (tooth fragment recovered from wound)",Mar,N,M,Tiger shark,1993,35.0
928,Unprovoked,usa,Free diving & spearfishing (ascending),55,White shark,Mar,N,M,White shark,1993,55.0
929,Provoked,australia,Fishing,69,"Bronze whaler shark, 1.5 m ",Feb,N,M,Unspecified,1993,25.0
930,Unprovoked,australia,Spearfishing,21,1.5 m shark,Jan,N,M,Unspecified,1993,21.0
931,Unprovoked,usa,Surfing,29,6 m [20'] white shark,Jan,N,M,Unspecified,1993,29.0
932,Unprovoked,usa,"Standing in waist-deep water, helping his father tend a gill net containing dead fish",10,"Tiger shark, 2.4 m [8']",Dec,N,M,Tiger shark,1992,10.0
933,Unprovoked,usa,Lying on surfboard,30,"Tiger shark, 3 m to 4.9 m [10' to 16'] ",Dec,N,M,Tiger shark,1992,30.0
934,Unprovoked,usa,Spearfishing / free diving,31,"Mako shark, 1.8 m [6']  ",Nov,N,M,Unspecified,1992,31.0
935,Unprovoked,usa,Surfing,19,6' to 7' blacktip shark,Nov,N,M,Unspecified,1992,19.0
936,Boating,usa,Kayaking,46,5 m to 6 m white shark,Nov,N,M,Unspecified,1992,46.0
937,Unprovoked,usa,Scuba diving (submerged),40,Unidentified shark,Nov,N,M,Unspecified,1992,40.0
938,Unprovoked,usa,Body boarding,18,"Tiger shark, 3 m to 3.7 m [10' to 12'] ",Nov,Y,M,Tiger shark,1992,18.0
939,Unprovoked,usa,Hookah diving for sea urchins,40,2.5 m [8.25'] white shark,Oct,N,M,Unspecified,1992,40.0
940,Unprovoked,usa,Surfing,28,"Tiger shark, 4.3 m [14'] ",Oct,N,M,Tiger shark,1992,28.0
